pageid,rqsts_per_page
39146508,156
39271293,110
39468907,233
39135902,29
39104825,157
39330450,99
39561428,57
39473008,18
39569786,147
39582652,226
39260120,58
39428114,155
39480897,89
39155965,139
39160206,3
39197168,33
39521579,39
39182450,73
39278353,108
39287704,120
39580670,50
39505139,58
39320140,95
39458683,88
39453194,76
39435008,86
39416455,121
39238550,12
39567102,48
39191556,386
39417984,7
39355795,82
39409809,118
39203882,23
39336084,105
39615286,86
39277486,64
39574465,82
39496000,2
39184955,51
39436271,30
39438009,39
39151880,52
39378851,176
39463296,74
39152935,77
39262744,13
39597993,66
39131727,71
39411523,93
39165210,204
39296227,19
39562940,110
39472105,146
39403401,104
39233666,155
39486924,167
39227903,150
39305380,157
39331247,115
39134742,29
39562463,111
39214954,46
39530374,114
39325197,108
39442282,40
39350393,68
39243966,23
39366182,81
39327212,60
39221281,400
39528533,88
39199911,10
39153151,174
39209140,115
39550432,67
39273007,159
39597976,74
39197605,15
39501213,88
39299753,105
39437500,44
39111426,107
39193185,241
39384459,86
39208674,38
39451307,38
39568815,231
39341132,51
39178884,70
39631797,330
39497553,182
39139400,107
39221483,173
39306840,83
39295290,31
39387130,165
39197020,232
39265596,80
39273107,12
39276241,117
39278051,26
39589401,153
39350129,52
39238727,68
39472896,131
39628189,125
39219792,52
39363889,23
39486847,45
39365027,34
39549068,63
39460735,40
39134498,183
39403339,50
39157441,91
39116963,135
39534873,68
39156953,98
39269948,61
39323697,89
39226482,2
39423917,132
39158338,65
39376341,189
39170451,60
39178688,94
39151056,13
39506074,19
39520441,57
39334255,120
39555215,98
39177931,179
39314962,129
39478944,42
39122530,66
39109690,84
39208969,3
39501412,120
39478490,3
39479222,3
39517171,93
39247823,47
39512140,140
39492603,135
39275533,91
39239807,107
39399128,33
39362627,32
39452550,55
39400284,199
39251931,15
39447774,59
39264879,69
39382926,48
39243903,66
39495925,80
39403448,61
39101341,283
39436693,98
39175465,153
39568069,37
39120365,64
39613414,138
39520613,87
39398825,62
39529485,177
39563437,45
39445482,24
39502769,102
39421478,68
39107252,60
39439968,85
39511725,443
39428899,117
39446662,15
39204554,67
39257463,95
39381644,25
39538024,21
39280573,170
39470595,102
39155412,162
39500912,40
39485100,98
39269075,75
39506785,228
39579400,61
39494793,71
39556354,223
39131132,12
39268325,55
39112257,46
39477089,59
39643127,75
39276099,217
39151480,108
39519108,17
39191188,239
39281061,162
39492674,79
39561179,77
39310021,95
39515635,63
39431006,38
39283758,30
39372651,79
39287444,146
39118297,47
39615459,110
39153348,507
39109834,188
39381353,540
39254083,34
39234944,25
39488077,12
39467953,50
39363869,88
39342077,151
39252805,38
39226583,190
39277675,159
39296947,64
39443731,123
39528392,122
39371590,33
39210971,39
39282324,217
39443757,34
39371338,66
39565522,82
39479380,109
39513894,111
39134542,31
39251081,220
39251233,20
39383501,219
39110812,215
39447999,70
39550163,99
39614384,72
39575853,71
39377854,17
39379229,20
39556552,49
39452013,54
39272713,63
39466797,71
39405317,140
39407807,106
