pageid,count,window_timestamp
39146508,24,1.462908389083E9
39146508,58,1.462909233727E9
39146508,42,1.46291044209E9
39146508,32,1.462911610716E9
39271293,23,1.462908468267E9
39271293,37,1.462909226764E9
39271293,28,1.46291040624E9
39271293,22,1.462911607685E9
39468907,45,1.462908422575E9
39468907,73,1.462909215786E9
39468907,76,1.462910401291E9
39468907,39,1.462911624771E9
39135902,5,1.462908942981E9
39135902,10,1.462909242364E9
39135902,10,1.462910701195E9
39135902,4,1.462911763623E9
39104825,26,1.46290847724E9
39104825,48,1.462909207778E9
39104825,57,1.462910412162E9
39104825,26,1.462911616505E9
39330450,13,1.462908561954E9
39330450,36,1.462909207961E9
39330450,41,1.46291041225E9
39330450,9,1.462911610406E9
39561428,5,1.462908775002E9
39561428,20,1.462909275388E9
39561428,23,1.462910490998E9
39561428,9,1.462911621187E9
39473008,1,1.462909182089E9
39473008,8,1.462909300032E9
39473008,6,1.462910705362E9
39473008,3,1.462911647476E9
39569786,22,1.462908437876E9
39569786,47,1.462909207519E9
39569786,58,1.462910443438E9
39569786,20,1.462911701968E9
39582652,34,1.462908560752E9
39582652,76,1.462909253207E9
39582652,78,1.462910417739E9
39582652,38,1.462911634334E9
39260120,9,1.462908620384E9
39260120,21,1.462909258027E9
39260120,15,1.462910461078E9
39260120,13,1.462911639873E9
39428114,16,1.462908679941E9
39428114,53,1.462909285329E9
39428114,53,1.462910442078E9
39428114,33,1.462911652018E9
39480897,12,1.462908412865E9
39480897,30,1.462909232935E9
39480897,32,1.462910615844E9
39480897,15,1.462911650447E9
39155965,27,1.462908616762E9
39155965,43,1.462909245966E9
39155965,48,1.462910423241E9
39155965,21,1.462911634187E9
39160206,1,1.462908687391E9
39160206,1,1.462909500072E9
39160206,1,1.462911690189E9
39197168,4,1.462908819934E9
39197168,11,1.46290921273E9
39197168,10,1.462910404466E9
39197168,8,1.462911799895E9
39521579,8,1.462908491805E9
39521579,12,1.462909205395E9
39521579,16,1.462910529744E9
39521579,3,1.462911665749E9
39182450,9,1.462908856974E9
39182450,24,1.462909231604E9
39182450,28,1.462910452874E9
39182450,12,1.462911614028E9
39278353,14,1.462908438634E9
39278353,37,1.462909277709E9
39278353,43,1.462910407172E9
39278353,14,1.46291163571E9
39287704,18,1.462908522623E9
39287704,34,1.462909239675E9
39287704,40,1.462910423678E9
39287704,28,1.462911601435E9
39580670,7,1.462908672183E9
39580670,10,1.462909297799E9
39580670,21,1.462910486392E9
39580670,12,1.462911603E9
39505139,12,1.462908562308E9
39505139,15,1.462909222077E9
39505139,20,1.462910474939E9
39505139,11,1.462911655746E9
39320140,23,1.462908538833E9
39320140,36,1.462909208514E9
39320140,23,1.462910546413E9
39320140,13,1.462911609479E9
39458683,15,1.462908412373E9
39458683,36,1.462909232727E9
39458683,25,1.462910467835E9
39458683,12,1.462911613233E9
39453194,13,1.462908558062E9
39453194,34,1.462909264138E9
39453194,17,1.462910501136E9
39453194,12,1.462911615976E9
39435008,7,1.462908663853E9
39435008,27,1.462909240863E9
39435008,34,1.462910465101E9
39435008,18,1.462911680214E9
39416455,18,1.462908663604E9
39416455,47,1.462909237551E9
39416455,39,1.462910404172E9
39416455,17,1.462911612237E9
39238550,4,1.462909270734E9
39238550,5,1.462910934876E9
