country,region,population,income,lifeExpectancy
Albania ,EUROPE,3581655,4500,76.979
Algeria ,AFRICA,32930091,6000,70.747
Antigua & Barbuda ,LATIN AMERICA,69108,11000,75.61
Argentina ,LATIN AMERICA,39921833,11200,75.95
Australia ,OCEANIA,20264082,29000,82.231
Austria ,EUROPE,8192880,30000,80.785
Bahamas,LATIN AMERICA,303770,16700,74.92
Bangladesh ,ASIA,147365352,1900,69.854
Belgium ,EUROPE,10379067,29100,80.194
Belize ,LATIN AMERICA,287730,4900,73.46
Benin ,AFRICA,7862944,1100,58.992
Bhutan ,ASIA,2279723,1300,67.465
Bolivia ,LATIN AMERICA,8989046,2400,66.669
Botswana ,AFRICA,1639833,9000,46.824
Brazil ,LATIN AMERICA,188078227,7600,73.395
Bulgaria ,EUROPE,7385367,7600,73.347
Burkina Faso ,AFRICA,13902972,1100,55.513
Burundi ,AFRICA,8090068,600,53.148
Cameroon ,AFRICA,17340702,1800,54.16
Canada ,AMERICA,33098932,29800,81.157
Cape Verde ,AFRICA,420979,1400,74.439
Central African Rep. ,AFRICA,4303356,1100,48.834
Chad ,AFRICA,9944201,1200,50.259
Chile ,LATIN AMERICA,16134219,9900,79.425
China ,ASIA,1313973713,5000,75.023
Colombia ,LATIN AMERICA,43593035,6300,73.631
Comoros ,AFRICA,690948,700,60.444
"Congo, Dem. Rep. ",AFRICA,62660551,700,49.322
"Congo, Rep.",AFRICA,3702314,700,57.799
Costa Rica ,LATIN AMERICA,4075261,9100,79.493
Cote d'Ivoire ,AFRICA,17654843,1400,50.014
Croatia ,EUROPE,4494749,10600,76.714
Cyprus ,ASIA,784301,19200,79.509
Czech Republic ,EUROPE,10235455,15700,77.414
Denmark ,EUROPE,5450661,31100,79.114
Dominican Republic ,LATIN AMERICA,9183984,6000,72.958
Ecuador ,LATIN AMERICA,13547510,3300,75.917
Egypt ,AFRICA   ,78887007,4000,70.705
El Salvador ,LATIN AMERICA,6822378,4800,72.12
